time_end_s,T_zone_used_C,ahu_sat_sp_C,zone_temp_sp_C,T_zone_C,T_outdoor_C,T_ahu_supply_C,ahu_sat_sp_read_C,P_cooling_W,P_ahu_heating_W,P_reheat_W,P_supply_fan_W,P_return_fan_W,P_HVAC_W,E_HVAC_kWh_step
15822000,24.00013638009514,12.8,24.0,24.00015203505623,24.4,12.80018016348208,12.8,33.57324159761438,0.0,64.69623771279193,36.68890896024713,52.58743617635421,187.54582444700762,0.046886456111751906
15822900,24.00015203505623,12.8,24.0,24.0001654402254,24.275,12.80016736522184,12.8,33.38842785097665,0.0,65.93707585736975,36.68890896024713,52.58743617635421,188.60184884494774,0.047150462211236935
15823800,24.0001654402254,12.8,24.0,24.00017889402384,24.15,12.80013486589281,12.8,33.21873040587986,0.0,67.15875618046795,36.68890896024713,52.58743617635421,189.65383172294915,0.047413457930737285
15824700,24.00017889402384,12.8,24.0,24.00019381262784,24.025,12.80008505402633,12.8,33.07093724624733,0.0,68.3680574142071,36.68890896024713,52.58743617635421,190.71533979705575,0.047678834949263935
15825600,24.00019381262784,12.8,24.0,24.00021090655324,23.9,12.80003545949566,12.8,32.94446374669084,0.0,69.56791412875178,36.68890896024713,52.58743617635421,191.78872301204396,0.047947180753010986
15826500,24.00021090655324,12.8,24.0,24.0002270628867,23.9,12.79997742559413,12.8,32.95917190414146,0.0,70.54325942038922,36.68890896024713,52.58743617635421,192.77877646113203,0.04819469411528301
15827400,24.0002270628867,12.8,24.0,24.00024287350157,23.9,12.79998410328488,12.8,32.97103415283927,0.0,71.49082177240409,36.68890896024713,52.58743617635421,193.7382010618447,0.048434550265461174
15828300,24.00024287350157,12.8,24.0,24.00025672866388,23.9,12.80001566609482,12.8,32.96972932512465,0.0,72.40886983499131,36.68890896024713,52.58743617635421,194.65494429671728,0.048663736074179315
15829200,24.00025672866388,12.8,24.0,24.00026807851676,23.9,12.80005022955391,12.8,32.95403659822553,0.0,73.30081586456029,36.68890896024713,52.58743617635421,195.53119759938716,0.048882799399846785
15830100,24.00026807851676,12.8,24.0,24.00027258901569,23.9,12.80006139955713,12.8,32.9234604354023,0.0,73.88010197620596,36.68890896024713,52.58743617635421,196.0799075482096,0.0490199768870524
15831000,24.00027258901569,12.8,24.0,24.00028110763151,23.9,12.80002228470127,12.8,32.90923258027237,0.0,74.6503434486063,36.68890896024713,52.58743617635421,196.83592116548002,0.049208980291370004
15831900,24.00028110763151,12.8,24.0,24.00027899787188,23.9,12.79994851378652,12.8,32.92556381308111,0.0,74.35768395670104,36.68890896024713,52.58743617635421,196.55959290638347,0.04913989822659587
15832800,24.00027899787188,12.8,24.0,24.00027313420063,23.9,12.79987242890253,12.8,32.97351731670505,0.0,73.44186433730839,36.68890896024713,52.58743617635421,195.69172679061475,0.04892293169765369
15833700,24.00027313420063,12.8,24.0,24.00021833768716,24.175,12.79975088956059,12.8,33.31924006702631,0.0,68.78642398005265,36.68890896024713,52.58743617635421,191.3820091836803,0.04784550229592008
15834600,24.00021833768716,12.8,24.0,24.00018674685039,24.45,12.79973927005254,12.8,33.67423690900327,0.0,66.34006764697858,36.68890896024713,52.58743617635421,189.29064969258317,0.0473226624231458
15835500,24.00018674685039,12.8,24.0,24.00016042368818,24.725,12.79979315242577,12.8,34.01009387748535,0.0,64.41472891227174,36.68890896024713,52.58743617635421,187.7011679263584,0.0469252919815896
15836400,24.00016042368818,12.8,24.0,24.00013242071391,25.0,12.79986905165929,12.8,34.3159350751835,0.0,62.54978660490605,36.68890896024713,52.58743617635421,186.1420668166909,0.046535516704172726
15837300,24.00013242071391,12.8,24.0,24.00003230072427,25.55,12.79985450203261,12.8,34.87187686629137,0.0,55.63993471940397,36.68890896024713,52.58743617635421,179.7881567222967,0.04494703918057417
15838200,24.00003230072427,12.8,24.0,23.99997435719078,26.1,12.79981211135697,12.8,35.45590168620635,0.0,51.89449395176851,36.68890896024713,52.58743617635421,176.6267407745762,0.044156685193644046
15839100,23.99997435719078,18.0,24.0,23.99970376763354,26.65,17.99801360118644,18.0,27.95667036396432,0.0,0.0,36.68890896024713,52.58743617635421,117.23301550056567,0.029308253875141417
15840000,23.99970376763354,18.0,24.0,24.02686368553841,27.2,17.87231249015845,18.0,28.86096944766404,0.0,0.0,36.92987563274812,52.93282174027231,118.72366682068449,0.02968091670517112
15840900,24.02686368553841,12.8,24.0,24.00129527593743,27.625,12.86537128817058,12.8,42.84223472420255,0.0,0.1594434307953065,36.80445626515855,52.75305398006059,132.559188400217,0.033139797100054255
15841800,24.00129527593743,12.8,24.0,24.01296844250984,28.05,12.85228954137983,12.8,43.78455824323456,0.0,0.0,36.70824968155085,52.61515787688956,133.10796580167496,0.03327699145041874
15842700,24.01296844250984,12.8,24.0,24.06733526200992,28.475,12.81124732062511,12.8,45.34135237440503,0.0,0.0,36.68890896024713,52.58743617635421,134.61769751100636,0.03365442437775159
15843600,24.06733526200992,12.8,24.0,24.00409818095518,28.9,12.4843389114489,12.8,53.11615040872057,0.0,0.0,37.35268263246198,53.53884510652883,144.00767814771137,0.03600191953692784
15844500,24.00409818095518,12.8,24.0,23.99912773523464,29.325,12.38997060494759,12.8,63.56833096768906,0.0,0.0,38.66693438701564,55.42260595472241,157.6578713094271,0.039414467827356775
15845400,23.99912773523464,18.0,24.0,24.00130517918496,29.75,17.25834846859175,18.0,59.32209176397789,0.0,0.0,56.4424276779869,80.90081300511454,196.66533244707932,0.04916633311176983
15846300,24.00130517918496,12.8,24.0,23.99885317913591,30.175,13.13748748289006,12.8,77.36227065414641,0.0,0.0,41.27949052334196,59.16726975012347,177.80903092761184,0.044452257731902964
15847200,23.99885317913591,18.0,24.0,24.00111450305814,30.6,17.82077546092405,18.0,77.16661930729758,0.0,0.0,72.9709776102214,104.5917345746507,254.72933149216968,0.06368233287304242
15848100,24.00111450305814,12.8,24.0,23.99860761085251,30.875,12.39278117936107,12.8,94.79607582208243,0.0,0.0,41.86170590839644,60.00177846870157,196.65956019918042,0.04916489004979511
15849000,23.99860761085251,18.0,24.0,24.04130404832603,31.15,18.10767861351934,18.0,92.60479690660598,0.0,0.0,86.86262081260838,124.5030898314053,303.9705075506197,0.07599262688765492
15849900,24.04130404832603,12.8,24.0,24.00225151961567,31.425,12.57684609314873,12.8,110.7675323166823,0.0,0.0,44.6460082473076,63.99261182114089,219.40615238513078,0.0548515380962827
15850800,24.00225151961567,12.8,24.0,23.99804084139072,31.7,12.76454863189985,12.8,112.2699200608463,0.0,0.0,45.67321399071647,65.46494005336027,223.40807410492303,0.05585201852623076
15851700,23.99804084139072,18.0,24.0,24.22141558226204,32.09999999999999,18.25973015277349,18.0,95.68011258226089,0.0,0.0,86.86262081260838,124.5030898314053,307.0458232262746,0.07676145580656865
15852600,24.22141558226204,12.8,24.0,24.1691331995718,32.5,12.79999341795713,12.8,105.5598392720858,0.0,0.0,43.60430056344258,62.49949747426768,211.66363730979606,0.05291590932744901
15853500,24.1691331995718,12.8,24.0,24.05530310582421,32.9,11.464588854077,12.8,129.1489569892152,0.0,0.0,44.66326054332045,64.01734011209264,237.82955764462832,0.05945738941115708
15854400,24.05530310582421,12.8,24.0,24.00603935606947,33.3,12.67692999540501,12.8,137.9091665409377,0.0,0.0,51.78983922809287,74.23210289359979,263.9311086626304,0.06598277716565759
