time_hour,Tenv_mpc,Tair_mpc,Tout,Qsg,Qint,sat_mpc,zat_mpc,lb,ub,reward_mpc,energy_step_mpc_kwh,energy_cumulative_mpc_kwh,temp_exceed_step_mpc_degC_hr,temp_exceed_cumulative_mpc_degC_hr,violation_hours_cumulative_mpc,solver_success,solver_used_fallback,solver_time_sec,solver_iterations,solver_function_evaluations,solver_objective,solver_message
26.5,22.655096379613873,22.762008286537284,20.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0005132778425118072,0.030796670550708432,2.8736952441549874,0.0,0.0,0.0,True,False,0.00835183299932396,1,13,0.0032683693702964074,Optimization terminated successfully
27.0,22.618013106488014,22.742935895129214,20.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0005304904541322243,0.03182942724793346,2.905524671402921,0.0,0.0,0.0,True,False,0.008360499999980675,1,13,0.0033238093944170637,Optimization terminated successfully
27.5,22.584269421590868,22.7254384708649,20.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0005471938115548596,0.03283162869329158,2.9383563000962125,0.0,0.0,0.0,True,False,0.008194750000257045,1,13,0.003363074037096857,Optimization terminated successfully
28.0,22.57303014087113,22.716199090789495,21.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0005533004937199207,0.03319802962319524,2.9715543297194076,0.0,0.0,0.0,True,False,0.008291125002870103,1,13,0.003381290049352531,Optimization terminated successfully
28.5,22.562646281559825,22.71064669759202,21.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0005596724284962481,0.03358034570977489,3.0051346754291823,0.0,0.0,0.0,True,False,0.008307541997055523,1,13,0.003330012814630831,Optimization terminated successfully
29.0,22.553188188409347,22.705732131649494,21.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0005644330875288746,0.033865985251732476,3.039000660680915,0.0,0.0,0.0,True,False,0.00825020900083473,1,13,0.003236362430087209,Optimization terminated successfully
29.5,22.544579045979358,22.70126551505814,21.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0005687166003566373,0.03412299602139823,3.0731236567023132,0.0,0.0,0.0,True,False,0.008288583001558436,1,13,0.003012999604062435,Optimization terminated successfully
30.0,22.537871142892158,22.70243412139284,21.0,3.96,50.0,14.5,23.0,15.0,28.0,-0.0005697546987279959,0.034185281923679756,3.107308938625993,0.0,0.0,0.0,True,False,0.008068834002187941,1,13,0.00278590734428735,Optimization terminated successfully
30.5,22.53419790299075,22.709904004257254,21.0,11.75462383,50.0,14.5,23.0,15.0,28.0,-0.0005654112415225504,0.03392467449135302,3.141233613117346,0.0,0.0,0.0,True,False,0.007911333999800263,1,13,0.002636562442599537,Optimization terminated successfully
31.0,22.555561703815933,22.821487823843615,21.0,96.98198846,50.0,14.5,23.0,22.0,24.0,-0.0005020226322705519,0.030121357936233113,3.171354971053579,0.0,0.0,0.0,True,False,0.007605541999510024,1,13,0.0026335405562926788,Optimization terminated successfully
31.5,22.57497414166303,22.817650756792634,21.0,80.97893579,50.0,14.5,23.0,22.0,24.0,-0.0004660230986192893,0.02796138591715736,3.199316356970736,0.0,0.0,0.0,True,False,0.007515666999097448,1,13,0.0027479323513150905,Optimization terminated successfully
32.0,22.64107162460757,23.0866635059595,22.0,104.2441637,180.0,14.5,23.0,22.0,24.0,-0.00034107073135859463,0.020464243881515676,3.2197806008522516,0.0,0.0,0.0,True,False,0.007326708000618964,1,13,0.002980860808960227,Optimization terminated successfully
32.5,22.720518568654075,23.14660845814143,22.0,146.2393543,180.0,14.5,23.0,22.0,24.0,-0.0003416237559221822,0.02049742535533093,3.2402780262075823,0.0,0.0,0.0,True,False,0.007193083001766354,1,13,0.0034343826550182863,Optimization terminated successfully
33.0,22.859937862222463,23.344794490029113,23.0,337.6445135,180.0,14.5,23.0,22.0,24.0,-0.00042041105955828526,0.025224663573497116,3.2655026897810795,0.0,0.0,0.0,True,False,0.007242499999847496,1,13,0.004006128523606973,Optimization terminated successfully
33.5,22.97730144537344,23.268961897594632,23.0,335.9652332,180.0,14.5,23.0,22.0,24.0,-0.0005623892635059565,0.03374335581035739,3.299246045591437,0.0,0.0,0.0,True,False,0.007323082998482278,1,13,0.004756968409819565,Optimization terminated successfully
