energy_true,penalty_true,exceedance_true
32.48073797672987,38.0,110.01735319097584
32.584460861980915,38.0,110.01735319097584
32.68739481270313,38.0,110.01735319097584
32.78960484266281,38.0,110.01735319097584
32.89113365113735,38.0,110.01735319097584
32.99205385893583,38.0,110.01735319097584
33.09240733087063,38.0,110.01735319097584
33.192257806658745,38.0,110.01735319097584
33.291644528508186,38.0,110.01735319097584
33.3906025364995,38.0,110.01735319097584
33.48916297405958,38.0,110.01735319097584
33.58733180910349,38.0,110.01735319097584
33.68512819707394,38.0,110.01735319097584
33.78256981819868,38.0,110.01735319097584
33.87965229153633,38.0,110.01735319097584
33.9766810387373,38.0,110.01735319097584
34.073749266564846,38.0,110.01735319097584
34.17118267714977,38.5,111.95830558938134
34.26873791217804,39.0,113.87297344062486
34.36699292808771,39.5,115.7909538127898
