lb,ub,Qsg,Tout,Tair_true,u_true
22.0,24.0,276.8261154,25.700000000000003,19.8480929180192,-373.34842
22.0,24.0,212.85395,25.200000000000003,22.525238370615185,-1607.8707
22.0,24.0,128.9326669,24.700000000000003,20.960653851425338,-886.3879
22.0,24.0,90.98752998,23.700000000000003,21.71562179443812,-1234.529
22.0,24.0,56.595,22.799999999999997,21.195032146061806,-994.46765
22.0,24.0,40.59,22.799999999999997,21.175346734569704,-985.39
22.0,24.0,25.245,20.4,21.076007469653014,-939.58136
22.0,24.0,11.88,19.200000000000003,21.016742083203056,-912.2521
22.0,24.0,15.52479867,18.10000000000001,20.93290038096646,-873.5898
15.0,28.0,0.0,17.599999999999994,20.868407361551572,-843.84985
15.0,28.0,0.0,17.1,20.795509970660948,-810.23444
15.0,28.0,0.0,16.700000000000003,20.73621658179862,-782.8923
15.0,28.0,0.0,16.299999999999997,20.676986051177785,-755.57904
15.0,28.0,0.0,15.899999999999999,20.62468814745819,-731.4627
15.0,28.0,0.0,15.5,20.574781529648998,-708.4491
15.0,28.0,0.0,15.099999999999994,20.529083306520164,-687.3761
15.0,28.0,0.0,14.700000000000003,20.48598888359696,-667.5038
15.0,28.0,0.0,14.399999999999991,20.445841457872557,-648.99054
15.0,28.0,0.0,14.100000000000001,20.408496332969026,-631.7694
15.0,28.0,0.0,13.899999999999999,20.37379936095049,-615.7694
15.0,28.0,0.0,13.700000000000003,20.341900180557698,-601.05963
15.0,28.0,0.0,13.5,20.31250085275204,-587.5026
15.0,28.0,0.0,13.299999999999997,20.28532259152852,-574.9698
15.0,28.0,0.0,13.0,20.260124587488626,-563.35016
15.0,28.0,0.0,12.700000000000003,20.236163950947073,-552.3011
15.0,28.0,0.0,12.400000000000006,20.213343467833695,-541.7778
15.0,28.0,0.0,12.0,20.191516982630496,-531.7128
15.0,28.0,1.98,13.100000000000009,20.17006292930841,-521.81964
15.0,28.0,63.894324999999995,14.100000000000001,20.157380574357113,-515.97144
22.0,24.0,26.07,15.200000000000003,20.167500364721036,-520.638
22.0,24.0,111.4428186,16.299999999999997,20.158681294515468,-516.5712
22.0,24.0,57.915,17.200000000000003,20.195075282893594,-533.3537
22.0,24.0,169.0888447,18.10000000000001,20.190488715463932,1364.5706
22.0,24.0,119.5705731,18.799999999999997,23.328983787072037,-1978.5049
22.0,24.0,330.3370582,19.39999999999999,18.898880554554072,1516.3839
22.0,24.0,324.7283306,20.0,23.63314503532088,-2118.764
22.0,24.0,510.1311855,20.60000000000001,18.995231250986535,1505.0743
22.0,24.0,538.3897064,21.200000000000003,23.91116363853243,-2246.9678
22.0,24.0,648.0742247999999,21.799999999999997,19.151444862481604,1486.738
22.0,24.0,673.4987,22.299999999999997,24.215994346323583,-2387.5356
22.0,24.0,723.9465739000001,22.799999999999997,19.300166159059838,1469.2812
22.0,24.0,735.2223364,23.10000000000001,24.514029253955044,-2524.9695
22.0,24.0,726.2296870999999,23.5,19.42782147032644,1454.2957
22.0,24.0,715.3576322,23.700000000000003,24.772565977740342,-2644.1897
22.0,24.0,644.9089318,23.9,19.52135436429328,1443.1577
