time_hour,mpc_parameter_phase,parameter_switched_after_step,identification_rows_available,Tenv_mpc,Tair_mpc,Tout,Qsg,Qint,forecast_Tout_mean_next_step,forecast_Tout_sample_next_step,forecast_Tout_error_next_step,forecast_Qsg_mean_next_step,forecast_Qsg_sample_next_step,forecast_Qsg_relative_error_next_step,sat_mpc,zat_mpc,lb,ub,reward_mpc,energy_step_mpc_kwh,energy_cumulative_mpc_kwh,temp_exceed_step_mpc_degC_hr,temp_exceed_cumulative_mpc_degC_hr,violation_hours_cumulative_mpc,solver_success,solver_used_fallback,solver_time_sec,solver_iterations,solver_function_evaluations,solver_objective,solver_message,mpc_model_C_env,mpc_model_C_air,mpc_model_R_rc,mpc_model_R_oe,mpc_model_R_er
17675.0,generic,False,22,23.77106987418119,23.977785359802365,29.2,632.8191194,180.0,29.2,30.239039096765236,1.0390390967652352,632.8191194,498.69590725950343,-0.2119455750130683,14.332655676442787,23.689994577791214,22.0,24.0,-0.0005062124816102795,0.030372748896616765,1.193269638361057,0.0,0.0,0.0,True,False,0.1386618329997873,16,245,0.0036058145782748466,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17675.5,generic,False,23,24.010308444093994,23.988095454864474,29.4,649.8086212,180.0,29.4,29.554826928602346,0.15482692860234623,649.8086212,568.11108070067,-0.12572554108078668,14.441117273172077,23.67554083631388,22.0,24.0,-0.0006430036341103963,0.03858021804662378,1.2318498564076807,0.0,0.0,0.0,True,False,0.059642750013154,7,106,0.004821577421295755,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17676.0,generic,False,24,24.226324273319026,24.011844455973204,29.6,701.6350699,180.0,29.6,31.57017131685426,1.9701713168542583,701.6350699,589.8564407469127,-0.15931163356617625,14.406155066285232,23.71227710123159,22.0,24.0,-0.001245973187833713,0.04810836533031367,1.2799582217379943,0.005922227986602024,0.005922227986602024,0.5,True,False,0.051809291006065905,6,92,0.004307607234773459,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17676.5,generic,False,25,24.41140972315961,24.032291376791843,29.7,703.0527701,180.0,29.7,29.94170627121323,0.2417062712132323,703.0527701,688.7244407292164,-0.02038016203071861,14.388275010570876,23.865296445334124,22.0,24.0,-0.002122051696995035,0.054667504038055564,1.3346257257760499,0.016145688395921454,0.022067916382523478,1.0,True,False,0.06573283299803734,8,117,0.004624192634402444,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17677.0,generic,False,26,24.518796424581836,23.883687676120154,29.8,493.4677368,180.0,29.8,29.657526267516023,-0.14247373248397985,493.4677368,513.8342793998709,0.04127228809717562,14.406398977437382,24.02001604529451,22.0,24.0,-0.0008715479289598336,0.05229287573759002,1.3869186015136399,0.0,0.022067916382523478,1.0,True,False,0.06080558399844449,8,109,0.004242767506432578,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17677.5,generic,False,27,24.49610203701536,23.46641475931458,29.7,89.94650763,180.0,29.7,29.165837923224363,-0.5341620767756371,89.94650763,103.78475157612888,0.15384970812933937,14.454157066795744,23.825245437514738,22.0,24.0,-0.0007548183027587513,0.04528909816552508,1.432207699679165,0.0,0.022067916382523478,1.0,True,False,0.03864524999517016,5,69,0.004598036996018973,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17678.0,generic,False,28,24.49333812221129,23.645709364928663,29.6,180.2523886,180.0,29.6,29.343141656658617,-0.25685834334138485,180.2523886,196.5805438871072,0.09058495931136437,14.465098430694358,23.74884095690746,22.0,24.0,-0.0006234581112039484,0.0374074866722369,1.469615186351402,0.0,0.022067916382523478,1.0,True,False,0.08566974999848753,10,153,0.004940525704536301,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17678.5,generic,False,29,24.5828171410743,24.03865514823558,29.4,474.8740792,180.0,29.4,28.687406672385492,-0.7125933276145072,474.8740792,463.88158940642114,-0.023148220286307093,14.421501721603656,23.813454502434535,22.0,24.0,-0.002101281312278308,0.039102795206642144,1.508717981558044,0.01932757411779029,0.04139549050031377,1.5,True,False,0.06111162499291822,8,109,0.004357483544018394,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17679.0,generic,False,30,24.654662413745584,23.997305479061176,29.1,426.4738543,180.0,29.1,29.072044518272307,-0.02795548172769495,426.4738543,449.27186542366223,0.05345699600056854,14.368191700660546,23.93615114183474,22.0,24.0,-0.0007313547082793949,0.04388128249676369,1.5525992640548076,0.0,0.04139549050031377,1.5,True,False,0.11509629100328311,15,206,0.003910652191020654,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17679.5,generic,False,31,24.703345908164916,23.969060029316964,28.7,424.6044764,180.0,28.7,29.569813535322634,0.8698135353226333,424.6044764,468.21728764326804,0.1027139695111984,14.353632631180218,23.890431188167092,22.0,24.0,-0.000801444019274279,0.04808664115645674,1.6006859052112643,0.0,0.04139549050031377,1.5,True,False,0.021959833000437357,3,39,0.003367008813535692,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
