row_index,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error,T_env_start,T_zone_start,T_out_start,T_out_end,T_cor_start,T_cor_end,Qsg_start,Qsg_end,Qint_start,Qint_end,Q_HVAC_total_est_W,dt_seconds,envelope_abs_error,zone_abs_error,combined_abs_error
153,21.419565200805664,21.424030507016052,0.00446530621038832,22.330062866210938,22.329341914190614,-0.0007209520203232955,21.47946548461914,22.3566837310791,12.39999771118164,12.0,24.0,24.0,0.0,0.0,50.0,50.0,-45.945739229318576,1800.0,0.00446530621038832,0.0007209520203232955,0.005186258230711616
154,21.387229919433594,21.377128705283567,-0.010101214150026294,22.31208038330078,22.301071057548164,-0.011009325752617372,21.419565200805664,22.330062866210938,12.0,13.099998474121094,24.0,24.0,0.0,1.9800000190734863,50.0,50.0,-43.335025044911134,1800.0,0.010101214150026294,0.011009325752617372,0.021110539902643666
155,21.394859313964844,21.382749990481347,-0.012109323483496581,22.3852481842041,22.285352168359704,-0.09989601584439711,21.387229919433594,22.31208038330078,13.099998474121094,14.099998474121094,24.0,24.0,1.9800000190734863,63.894325256347656,50.0,50.0,-50.80747835097921,1800.0,0.012109323483496581,0.09989601584439711,0.1120053393278937
156,21.394994735717773,21.395312775176947,0.00031803945917374676,22.145627975463867,22.208995683916267,0.06336770845240025,21.394859313964844,22.3852481842041,14.099998474121094,15.200000762939451,24.0,24.0,63.894325256347656,26.07000160217285,50.0,50.0,-139.33656475168,1800.0,0.00031803945917374676,0.06336770845240025,0.063685747911574
157,21.43006134033203,21.41989464353922,-0.010166696792811791,22.24865341186523,22.097489120163885,-0.15116429170134538,21.394994735717773,22.145627975463867,15.200000762939451,16.300003051757812,24.0,24.0,26.07000160217285,111.44281768798828,50.0,50.0,-146.3016218340582,1800.0,0.010166696792811791,0.15116429170134538,0.16133098849415717
158,21.459014892578125,21.47228901775125,0.013274125173126095,22.11606216430664,22.124346569575984,0.008284405269343154,21.43006134033203,22.24865341186523,16.300003051757812,17.199996948242188,24.0,24.0,111.44281768798828,57.915000915527344,50.0,50.0,-183.55038653810027,1800.0,0.013274125173126095,0.008284405269343154,0.021558530442469248
159,21.551467895507812,21.524669199699247,-0.026798695808565753,22.50744247436523,22.245255266769036,-0.2621872075961953,21.459014892578125,22.11606216430664,17.199996948242188,18.099998474121097,24.0,24.0,57.915000915527344,169.08883666992188,50.0,180.0,-223.8542779069883,1800.0,0.026798695808565753,0.2621872075961953,0.28898590340476105
160,21.66212272644043,21.690279191101233,0.028156464660803238,22.63007354736328,22.511807412499483,-0.11826613486379856,21.551467895507812,22.50744247436523,18.099998474121097,18.800003051757812,24.0,24.0,169.08883666992188,119.57057189941406,180.0,180.0,-180.41025977777508,1800.0,0.028156464660803238,0.11826613486379856,0.1464225995246018
161,21.837512969970703,21.842195149412902,0.004682179442198731,22.969594955444336,22.553448311691344,-0.4161466437529917,21.66212272644043,22.63007354736328,18.800003051757812,19.400001525878903,24.0,24.0,119.57057189941406,330.3370361328125,180.0,180.0,-219.40751631373115,1800.0,0.004682179442198731,0.4161466437529917,0.42082882319519044
162,22.01837730407715,22.072312891724895,0.05393558764774653,23.06452178955078,22.784273599313668,-0.28024819023711345,21.837512969970703,22.969594955444336,19.400001525878903,20.0,24.0,24.0,330.3370361328125,324.7283020019531,180.0,180.0,-238.32080311609192,1800.0,0.05393558764774653,0.28024819023711345,0.33418377788486
163,22.244327545166016,22.279615517063387,0.03528797189737176,23.336156845092773,22.780706908652732,-0.5554499364400414,22.01837730407715,23.06452178955078,20.0,20.599998474121097,24.0,24.0,324.7283020019531,510.1311950683594,180.0,180.0,-318.9661653425823,1800.0,0.03528797189737176,0.5554499364400414,0.5907379083374131
