row_index,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error,T_env_start,T_zone_start,T_out_start,T_out_end,T_cor_start,T_cor_end,Qsg_start,Qsg_end,Qint_start,Qint_end,Q_HVAC_total_est_W,dt_seconds,envelope_abs_error,zone_abs_error,combined_abs_error
47,22.31164932250977,22.31625840161921,0.004609079109439307,22.579570770263672,22.585026842417477,0.00545607215380528,22.441272735595703,22.64540100097656,14.799999237060549,14.400001525878906,24.0,24.0,0.0,0.0,50.0,50.0,-192.32042478286056,1800.0,0.004609079109439307,0.00545607215380528,0.010065151263244587
48,22.201351165771484,22.202943396874314,0.0015922311028297997,22.632173538208008,22.633451500606796,0.0012779623987881905,22.31164932250977,22.579570770263672,14.400001525878906,14.200000762939451,24.0,24.0,0.0,0.0,50.0,50.0,-133.29743190104114,1800.0,0.0015922311028297997,0.0012779623987881905,0.0028701935016179903
49,22.10007095336914,22.103505234122732,0.0034342807535914233,22.58598518371582,22.590059778548472,0.004074594832651712,22.201351165771484,22.632173538208008,14.200000762939451,13.89999771118164,24.0,24.0,0.0,0.0,50.0,50.0,-129.07213986560774,1800.0,0.0034342807535914233,0.004074594832651712,0.0075088755862431356
50,22.00622940063477,22.007754942352925,0.0015255417181556652,22.53795051574707,22.541033025748668,0.003082510001597427,22.10007095336914,22.58598518371582,13.89999771118164,13.800003051757812,24.0,24.0,0.0,0.0,50.0,50.0,-122.95187180930608,1800.0,0.0015255417181556652,0.003082510001597427,0.004608051719753092
51,21.918899536132812,21.92038904689433,0.0014895107615160441,22.493019104003903,22.495925549744932,0.0029064457410292732,22.00622940063477,22.53795051574707,13.800003051757812,13.699996948242188,24.0,24.0,0.0,0.0,50.0,50.0,-117.14649418205946,1800.0,0.0014895107615160441,0.0029064457410292732,0.004395956502545317
52,21.839941024780273,21.84116600753754,0.0012249827572681227,22.475664138793945,22.477753848056395,0.002089709262449446,21.918899536132812,22.493019104003903,13.699996948242188,13.60000228881836,24.0,24.0,0.0,0.0,50.0,50.0,-100.86826692192857,1800.0,0.0012249827572681227,0.002089709262449446,0.003314692019717569
53,21.767192840576172,21.76858113207093,0.001388291494759386,22.43941116333008,22.44187937527715,0.002468211947068255,21.839941024780273,22.475664138793945,13.60000228881836,13.5,24.0,24.0,0.0,0.0,50.0,50.0,-96.54687530871398,1800.0,0.001388291494759386,0.002468211947068255,0.003856503441827641
54,21.69910049438477,21.700469951644926,0.0013694572601572474,22.40449905395508,22.406863933292474,0.002364879337392267,21.767192840576172,22.43941116333008,13.5,13.400001525878906,24.0,24.0,0.0,0.0,50.0,50.0,-92.05713886532745,1800.0,0.0013694572601572474,0.002364879337392267,0.0037343365975495146
55,21.635196685791016,21.636541455445954,0.0013447696549384602,22.37170791625977,22.373957106921253,0.0022491906614838797,21.69910049438477,22.40449905395508,13.400001525878906,13.299999237060549,24.0,24.0,0.0,0.0,50.0,50.0,-87.82650293029049,1800.0,0.0013447696549384602,0.0022491906614838797,0.00359396031642234
56,21.583654403686523,21.583400913332323,-0.00025349035420063615,22.407564163208008,22.40744671071057,-0.0001174524974381086,21.635196685791016,22.37170791625977,13.299999237060549,13.299999237060549,24.0,24.0,0.0,0.0,50.0,50.0,-54.66512008563953,1800.0,0.00025349035420063615,0.0001174524974381086,0.00037094285163874474
57,21.53956413269043,21.539806022066333,0.00024188937590352566,22.38772964477539,22.388891464928527,0.0011618201531362615,21.583654403686523,22.407564163208008,13.299999237060549,13.299999237060549,24.0,24.0,0.0,0.0,50.0,50.0,-53.05636970352444,1800.0,0.00024188937590352566,0.0011618201531362615,0.0014037095290397872
58,21.51167678833008,21.506056315230342,-0.005620473099739343,22.37310791015625,22.368856951478527,-0.004250958677722849,21.53956413269043,22.38772964477539,13.299999237060549,13.89999771118164,24.0,24.0,0.0,1.4850000143051147,50.0,50.0,-51.00467183942666,1800.0,0.005620473099739343,0.004250958677722849,0.009871431777462192
59,21.51618194580078,21.50731739025537,-0.008864555545411434,22.440044403076172,22.34625085855821,-0.09379354451796118,21.51167678833008,22.37310791015625,13.89999771118164,14.599998474121094,24.0,24.0,1.4850000143051147,58.55607986450195,50.0,50.0,-57.89878204778529,1800.0,0.008864555545411434,0.09379354451796118,0.10265810006337261
60,21.51612091064453,21.521169343235055,0.005048432590523788,22.20350646972656,22.174845578429757,-0.02866089129680205,21.51618194580078,22.440044403076172,14.599998474121094,15.799999237060549,24.0,24.0,58.55607986450195,23.924999237060547,50.0,50.0,-146.64041524836486,1800.0,0.005048432590523788,0.02866089129680205,0.03370932388732584
61,21.555883407592773,21.54555002805155,-0.010333379541222598,22.32025146484375,22.13321042636399,-0.18704103847975873,21.51612091064453,22.20350646972656,15.799999237060549,17.0,24.0,24.0,23.924999237060547,119.0683822631836,50.0,50.0,-155.13441064927798,1800.0,0.010333379541222598,0.18704103847975873,0.19737441802098132
62,21.61440658569336,21.62838768501308,0.01398109931972158,22.26384735107422,22.092939225013243,-0.17090812606097572,21.555883407592773,22.32025146484375,17.0,18.400001525878903,24.0,24.0,119.0683822631836,118.3605499267578,50.0,50.0,-200.82995649390267,1800.0,0.01398109931972158,0.17090812606097572,0.1848892253806973
63,21.72783851623535,21.719777221968737,-0.008061294266614283,22.589584350585938,22.23512294726784,-0.3544614033180977,21.61440658569336,22.26384735107422,18.400001525878903,19.799999237060547,24.0,24.0,118.3605499267578,165.0533447265625,50.0,180.0,-237.84486892257715,1800.0,0.008061294266614283,0.3544614033180977,0.362522697584712
64,21.890655517578125,21.912476118975313,0.021820601397188,22.846101760864254,22.534158979056784,-0.3119427818074705,21.72783851623535,22.589584350585938,19.799999237060547,21.0,24.0,24.0,165.0533447265625,209.38099670410156,180.0,180.0,-205.22387636784197,1800.0,0.021820601397188,0.3119427818074705,0.3337633832046585
65,22.09465217590332,22.12477079944187,0.03011862353854866,23.052183151245117,22.60995779405088,-0.4422253571942356,21.890655517578125,22.846101760864254,21.0,22.199996948242188,24.0,24.0,209.38099670410156,297.1201477050781,180.0,180.0,-237.4099362823036,1800.0,0.03011862353854866,0.4422253571942356,0.4723439807327843
66,22.3096923828125,22.362147211856403,0.05245482904390286,23.16558074951172,22.684358954358476,-0.4812217951532425,22.09465217590332,23.052183151245117,22.199996948242188,23.200000762939453,24.0,24.0,297.1201477050781,323.3945007324219,180.0,180.0,-276.7752380230385,1800.0,0.05245482904390286,0.4812217951532425,0.5336766241971453
67,22.536033630371097,22.59062885509154,0.05459522472044398,23.278865814208984,22.67809207502767,-0.6007737391813137,22.3096923828125,23.16558074951172,23.200000762939453,24.099998474121097,24.0,24.0,323.3945007324219,393.4954223632813,180.0,180.0,-346.7683660650067,1800.0,0.05459522472044398,0.6007737391813137,0.6553689639017577
68,22.757980346679688,22.828925961845325,0.07094561516563758,23.33132553100586,22.695989953864117,-0.6353355771417419,22.536033630371097,23.278865814208984,24.099998474121097,25.0,24.0,24.0,393.4954223632813,418.107421875,180.0,180.0,-409.1380791520248,1800.0,0.07094561516563758,0.6353355771417419,0.7062811923073795
69,22.98236083984375,23.0555703819982,0.07320954215445141,23.385778427124023,22.62659025802579,-0.7591881690982341,22.757980346679688,23.33132553100586,25.0,25.900001525878903,24.0,24.0,418.107421875,496.9062194824219,180.0,180.0,-505.4172630091508,1800.0,0.07320954215445141,0.7591881690982341,0.8323977112526855
70,23.184062957763672,23.280428563014418,0.096365605250746,23.34315490722656,22.580243422658885,-0.7629114845676739,22.98236083984375,23.385778427124023,25.900001525878903,26.599998474121097,24.0,24.0,496.9062194824219,508.5705261230469,180.0,180.0,-592.3256909302147,1800.0,0.096365605250746,0.7629114845676739,0.8592770898184199
71,23.380779266357425,23.476794921913143,0.09601565555571767,23.373355865478516,22.493406660770724,-0.8799492047077919,23.184062957763672,23.34315490722656,26.599998474121097,27.300003051757812,24.0,24.0,508.5705261230469,585.9484252929688,180.0,180.0,-683.7074485967137,1800.0,0.09601565555571767,0.8799492047077919,0.9759648602635096
72,23.5697021484375,23.696414101525217,0.12671195308771743,23.493343353271484,22.61700454108054,-0.8763388121909443,23.380779266357425,23.373355865478516,27.300003051757812,27.800003051757812,24.0,24.0,585.9484252929688,626.0118408203125,180.0,180.0,-685.1686015620265,1800.0,0.12671195308771743,0.8763388121909443,1.0030507652786618
73,23.752544403076172,23.887289247876122,0.13474484479995041,23.577789306640625,22.695727396317157,-0.8820619103234684,23.5697021484375,23.493343353271484,27.800003051757812,28.300003051757812,24.0,24.0,626.0118408203125,624.2817993164062,180.0,180.0,-707.1929346229483,1800.0,0.13474484479995041,0.8820619103234684,1.0168067551234188
74,23.91674041748047,24.05314146049176,0.13640104301128986,23.613609313964844,22.73819487043124,-0.8754144435336038,23.752544403076172,23.577789306640625,28.300003051757812,28.5,24.0,24.0,624.2817993164062,616.106201171875,180.0,180.0,-738.8149761014151,1800.0,0.13640104301128986,0.8754144435336038,1.0118154865448936
75,24.050357818603516,24.18696776376158,0.1366099451580638,23.58539581298828,22.779180111587532,-0.8062157014007489,23.91674041748047,23.613609313964844,28.5,28.699996948242188,24.0,24.0,616.106201171875,571.0053100585938,180.0,180.0,-760.9584336868567,1800.0,0.1366099451580638,0.8062157014007489,0.9428256465588127
76,24.216209411621097,24.300722247539653,0.08451283591855585,23.883281707763672,22.845932837290395,-1.0373488704732772,24.050357818603516,23.58539581298828,28.699996948242188,28.699996948242188,24.0,24.0,571.0053100585938,591.8202514648438,180.0,180.0,-759.6301548910274,1800.0,0.08451283591855585,1.0373488704732772,1.121861706391833
77,24.27916145324707,24.39348916667663,0.11432771342956016,23.250144958496097,22.45124665157635,-0.798898306919746,24.216209411621097,23.883281707763672,28.699996948242188,28.800003051757812,24.0,24.0,591.8202514648438,478.3471984863281,180.0,180.0,-996.8905010699676,1800.0,0.11432771342956016,0.798898306919746,0.9132260203493061
