row_index,T_env_start_predicted,T_zone_start_predicted,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error
118,23.528855548283797,22.382695568883776,23.467548370361328,23.714416456537712,0.24686808617638434,23.342140197753903,22.291224202216377,-1.050915995537526
119,23.714416456537712,22.291224202216377,23.58818244934082,23.88718440151747,0.29900195217664916,23.314332962036133,22.220560217347533,-1.0937727446886
120,23.88718440151747,22.220560217347533,23.69363784790039,24.06288773531907,0.3692498874186789,23.37378692626953,22.35546826346367,-1.0183186628058607
121,24.06288773531907,22.35546826346367,23.79888153076172,24.23478155847292,0.4359000277112024,23.45941925048828,22.494020533532012,-0.965398716956269
122,24.23478155847292,22.494020533532012,23.89866065979004,24.394793651969046,0.49613299217900675,23.509349822998047,22.59584634158412,-0.913503481413926
123,24.394793651969046,22.59584634158412,23.97422981262207,24.527439839318777,0.553210026696707,23.47589111328125,22.706281417215486,-0.7696096960657641
124,24.527439839318777,22.706281417215486,24.096725463867188,24.64897002945098,0.5522445655837913,23.87960624694824,22.994810894027125,-0.8847953529211132
125,24.64897002945098,22.994810894027125,24.123611450195312,24.686599394949898,0.5629879447545854,23.22667694091797,22.572171664882614,-0.6545052760353549
126,24.686599394949898,22.572171664882614,24.070388793945312,24.649207326413585,0.5788185324682722,22.94729232788086,22.534395881289658,-0.4128964465912013
127,24.649207326413585,22.534395881289658,23.96246337890625,24.559606549105773,0.5971431701995229,22.684913635253903,22.551353494061846,-0.1335601411920564
128,24.559606549105773,22.551353494061846,23.848587036132812,24.448996388931967,0.6004093527991543,22.780336380004883,22.825885172235168,0.04554879223028507
129,24.448996388931967,22.825885172235168,23.728740692138672,24.330129729244973,0.6013890371063013,22.732933044433594,22.925916512232295,0.192983467798701
130,24.330129729244973,22.925916512232295,23.601802825927734,24.196801719253813,0.5949988933260784,22.738035202026367,23.00486105022266,0.2668258481962944
131,24.196801719253813,23.00486105022266,23.452117919921875,24.057350706027812,0.6052327861059368,22.551191329956055,22.989942662653718,0.4387513326976631
132,24.057350706027812,22.989942662653718,23.33000373840332,23.917063556072918,0.5870598176695978,22.67693328857422,23.05387881164934,0.37694552307512197
133,23.917063556072918,23.05387881164934,23.18998336791992,23.77551152835662,0.5855281604367022,22.725095748901367,23.108024503073267,0.38292875417189975
134,23.77551152835662,23.108024503073267,23.05229949951172,23.621162315567094,0.5688628160553755,22.752700805664062,23.144737346249556,0.39203654058549375
135,23.621162315567094,23.144737346249556,22.92127799987793,23.47034491805691,0.5490669181789798,22.790233612060547,23.16244552986766,0.37221191780711393
136,23.47034491805691,23.16244552986766,22.82671356201172,23.345578142490048,0.5188645804783292,23.02570343017578,23.37321123887224,0.34750780869645936
137,23.345578142490048,23.37321123887224,22.743732452392575,23.23253261566431,0.4888001632717369,22.9981689453125,23.330373049340352,0.33220410402785205
138,23.23253261566431,23.330373049340352,22.661117553710938,23.121338269794897,0.46022071608395976,22.957427978515625,23.271210060731836,0.3137820822162105
139,23.121338269794897,23.271210060731836,22.578229904174805,23.01186248833798,0.4336325841631741,22.915895462036133,23.21174503309848,0.2958495710623481
140,23.01186248833798,23.21174503309848,22.474498748779297,22.88523779363521,0.4107390448559123,22.668617248535156,22.953102621198827,0.2844853726636707
141,22.88523779363521,22.953102621198827,22.36357879638672,22.75156965857289,0.3879908621861716,22.603050231933594,22.869221469069263,0.26617123713566926
142,22.75156965857289,22.869221469069263,22.254474639892575,22.620987448543392,0.3665128086508176,22.547422409057617,22.798482247376576,0.25105983831895884
143,22.620987448543392,22.798482247376576,22.14742660522461,22.49386124943149,0.3464346442068802,22.49329948425293,22.730607895680812,0.2373084114278825
144,22.49386124943149,22.730607895680812,22.055728912353516,22.38139143155064,0.32566251919712386,22.55589485168457,22.7768532293512,0.22095837766662996
145,22.38139143155064,22.7768532293512,21.97139358520508,22.278448846389498,0.3070552611844164,22.51851272583008,22.728367742054004,0.20985501622392277
146,22.278448846389498,22.728367742054004,21.891027450561523,22.17988544407401,0.28885799351248664,22.477811813354492,22.675668340879316,0.19785652752482363
147,22.17988544407401,22.675668340879316,21.81403350830078,22.085920581052562,0.27188707275178103,22.4385986328125,22.624893543945035,0.18629491113253493
148,22.085920581052562,22.624893543945035,21.7425479888916,21.998360759299246,0.25581277040764405,22.425479888916016,22.600283336756114,0.17480344784009816
149,21.998360759299246,22.600283336756114,21.674671173095703,21.91563666849528,0.24096549539957834,22.39211082458496,22.557099324750467,0.16498850016550648
150,21.91563666849528,22.557099324750467,21.607131958007812,21.83522967204464,0.22809771403682788,22.35818672180176,22.51428242040024,0.15609569859847738
151,21.83522967204464,22.51428242040024,21.539871215820312,21.755955199526884,0.21608398370657156,22.324369430541992,22.472284274092605,0.14791484355061257
152,21.755955199526884,22.472284274092605,21.47946548461914,21.683731852612045,0.2042663679929042,22.3566837310791,22.495228968405772,0.1385452373266709
153,21.683731852612045,22.495228968405772,21.419565200805664,21.61422471546746,0.19465951466179732,22.330062866210938,22.462851240067373,0.13278837385643527
154,21.61422471546746,22.462851240067373,21.387229919433594,21.55843064858675,0.17120072915315632,22.31208038330078,22.428301669483886,0.11622128618310512
155,21.55843064858675,22.428301669483886,21.394859313964844,21.5426864280233,0.1478271140584546,22.3852481842041,22.39024837585605,0.005000191651948427
156,21.5426864280233,22.39024837585605,21.394994735717773,21.53463095514453,0.1396362194267553,22.145627975463867,22.194337902195517,0.0487099267316502
157,21.53463095514453,22.194337902195517,21.43006134033203,21.54915859604092,0.11909725570889051,22.24865341186523,22.155926199903533,-0.09272721196169798
158,21.54915859604092,22.155926199903533,21.459014892578125,21.579451676011026,0.12043678343290054,22.11606216430664,22.090301867570872,-0.025760296735768407
159,21.579451676011026,22.090301867570872,21.551467895507812,21.638316237214855,0.08684834170704292,22.50744247436523,22.203573848791944,-0.303868625573287
160,21.638316237214855,22.203573848791944,21.66212272644043,21.75379352890115,0.0916708024607189,22.63007354736328,22.4625261803764,-0.16754736698688077
161,21.75379352890115,22.4625261803764,21.837512969970703,21.920578081047417,0.08306511107671355,22.969594955444336,22.492454740946158,-0.4771402144981778
162,21.920578081047417,22.492454740946158,22.01837730407715,22.132202202576256,0.11382489849910726,23.06452178955078,22.574677036387826,-0.4898447531629557
163,22.132202202576256,22.574677036387826,22.244327545166016,22.369559202935324,0.12523165776930867,23.336156845092773,22.54097612526807,-0.7951807198247032
164,22.369559202935324,22.54097612526807,22.466453552246097,22.630490022731983,0.1640364704858861,23.377681732177734,22.516618939399493,-0.8610627927782417
165,22.630490022731983,22.516618939399493,22.690963745117188,22.887634973151062,0.1966712280338747,23.444278717041016,22.422743772194387,-1.0215349448466284
166,22.887634973151062,22.422743772194387,22.89055633544922,23.137017027318613,0.24646069186939457,23.392169952392575,22.343679044003224,-1.0484909083893506
167,23.137017027318613,22.343679044003224,23.071453094482425,23.36634710195068,0.29489400746825467,23.370763778686523,22.2759275370755,-1.0948362416110236
168,23.36634710195068,22.2759275370755,23.232097625732425,23.59338714317837,0.3612895174459432,23.44890594482422,22.423567244687835,-1.025338700136384
