row_index,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error,T_env_start,T_zone_start,T_out_start,T_out_end,T_cor_start,T_cor_end,Qsg_start,Qsg_end,Qint_start,Qint_end,Q_HVAC_total_est_W,dt_seconds,envelope_abs_error,zone_abs_error,combined_abs_error
119,23.58818244934082,23.84999755169943,0.26181510235861083,23.314332962036133,20.452682247112502,-2.8616507149236305,23.467548370361328,23.342140197753903,24.400001525878903,24.800003051757812,24.0,24.0,679.3646240234375,729.58349609375,180.0,180.0,-872.0081014597213,1800.0,0.26181510235861083,2.8616507149236305,3.1234658172822414
120,23.69363784790039,23.982058030198605,0.2884201822982142,23.37378692626953,20.753179498465904,-2.620607427803627,23.58818244934082,23.314332962036133,24.800003051757812,25.0,24.0,24.0,729.58349609375,739.3866577148438,180.0,180.0,-851.9967464847286,1800.0,0.2884201822982142,2.620607427803627,2.909027610101841
121,23.79888153076172,24.08797987411861,0.28909834335689055,23.45941925048828,20.88598824422632,-2.5734310062619628,23.69363784790039,23.37378692626953,25.0,25.300003051757812,24.0,24.0,739.3866577148438,730.318603515625,180.0,180.0,-841.7023812505829,1800.0,0.28909834335689055,2.5734310062619628,2.8625293496188533
122,23.89866065979004,24.189179729279648,0.2905190694896085,23.509349822998047,20.912961552490952,-2.596388270507095,23.79888153076172,23.45941925048828,25.300003051757812,25.5,24.0,24.0,730.318603515625,718.6380615234375,180.0,180.0,-846.3547481652082,1800.0,0.2905190694896085,2.596388270507095,2.8869073399967036
123,23.97422981262207,24.27687064931983,0.30264083669775843,23.47589111328125,21.031963413139657,-2.443927700141593,23.89866065979004,23.509349822998047,25.5,25.70000457763672,24.0,24.0,718.6380615234375,649.7882690429688,180.0,180.0,-839.2892373772739,1800.0,0.30264083669775843,2.443927700141593,2.7465685368393515
124,24.096725463867188,24.29967079777189,0.20294533390470093,23.87960624694824,21.66592425972427,-2.2136819872239677,23.97422981262207,23.47589111328125,25.70000457763672,25.800003051757812,24.0,24.0,649.7882690429688,619.45703125,180.0,180.0,-743.1058780096919,1800.0,0.20294533390470093,2.2136819872239677,2.4166273211286686
125,24.123611450195312,24.447509639990297,0.32389818979498486,23.22667694091797,20.18261413269433,-3.0440628082236394,24.096725463867188,23.87960624694824,25.800003051757812,25.900001525878903,24.0,24.0,619.45703125,494.53466796875,180.0,180.0,-978.5931775111436,1800.0,0.32389818979498486,3.0440628082236394,3.3679609980186243
126,24.070388793945312,24.301994104913533,0.23160531096822012,22.94729232788086,21.004550866801182,-1.9427414610796774,24.123611450195312,23.22667694091797,25.900001525878903,25.800003051757812,24.0,24.0,494.53466796875,434.2262573242187,180.0,180.0,-966.9961388488614,1800.0,0.23160531096822012,1.9427414610796774,2.1743467720478975
127,23.96246337890625,24.179391410857264,0.21692803195101362,22.684913635253903,21.38859572683285,-1.2963179084210523,24.070388793945312,22.94729232788086,25.800003051757812,25.70000457763672,24.0,24.0,434.2262573242187,276.82611083984375,180.0,180.0,-938.1701285811678,1800.0,0.21692803195101362,1.2963179084210523,1.513245940372066
128,23.848587036132812,23.959534432582902,0.11094739645009,22.780336380004883,22.337203785483872,-0.4431325945210105,23.96246337890625,22.684913635253903,25.70000457763672,25.199996948242188,24.0,24.0,276.82611083984375,212.85394287109375,180.0,180.0,-780.4637793864222,1800.0,0.11094739645009,0.4431325945210105,0.5540799909711005
