lb,ub,Qsg,Tout,Tair_true,sat_true,zat_true,raw_action_sat,raw_action_zat
22.0,24.0,324.72836,20.0,22.748459,15.499961853027344,22.808101654052734,15.499962,22.808102
22.0,24.0,510.1312,20.599998,22.900122,15.499979019165039,22.42543601989746,15.499979,22.425436
22.0,24.0,538.3897,21.199997,22.893215,15.499980926513672,22.266199111938477,15.499981,22.2662
22.0,24.0,648.0742,21.8,22.988071,15.499985694885254,21.922237396240234,15.499986,21.922237
22.0,24.0,673.4987,22.3,22.990105,15.49998664855957,21.763809204101562,15.499987,21.76381
22.0,24.0,723.9466,22.799995,23.062874,15.499988555908203,21.462505340576172,15.499989,21.462505
22.0,24.0,735.22235,23.099998,23.062511,15.499988555908203,21.332805633544922,15.499989,21.332806
22.0,24.0,726.2297,23.5,23.111794,15.499988555908203,21.0798282623291,15.499989,21.079828
22.0,24.0,715.3576,23.699997,23.099304,15.499988555908203,20.99140167236328,15.499989,20.991402
22.0,24.0,644.90894,23.899998,23.134293,15.499985694885254,20.785371780395508,15.499986,20.785372
22.0,24.0,614.804,24.0,23.143135,15.499984741210938,20.732324600219727,15.499985,20.732325
22.0,24.0,489.56662,24.099998,23.14349,15.49997615814209,20.579465866088867,15.499976,20.579466
22.0,24.0,432.9949,24.099998,23.124752,15.499971389770508,20.58379364013672,15.499971,20.583794
22.0,24.0,273.3121,24.099998,23.072842,15.499946594238281,20.500869750976562,15.499947,20.50087
22.0,24.0,211.53319,23.899998,23.00831,15.499933242797852,20.57302474975586,15.499933,20.573025
22.0,24.0,128.03357,23.699997,22.941704,15.499897003173828,20.52646255493164,15.499897,20.526463
22.0,24.0,90.46357,23.2,22.864317,15.499879837036133,20.628894805908203,15.49988,20.628895
22.0,24.0,57.42,22.7,22.581993,10.000049591064453,22.4365291595459,10.00005,22.43653
22.0,24.0,41.25,22.7,22.833126,10.000046730041504,22.455440521240234,10.000047,22.45544
22.0,24.0,25.08,20.400002,22.741766,10.000044822692871,22.589832305908203,10.000045,22.589832
22.0,24.0,10.395,19.400002,22.760788,10.000041961669922,22.683942794799805,10.000042,22.683943
22.0,24.0,13.512385,18.400002,22.746815,10.000042915344238,22.747108459472656,10.000043,22.747108
15.0,28.0,0.0,17.900002,22.721079,10.000039100646973,22.8382568359375,10.000039,22.838257
15.0,28.0,0.0,17.5,22.658875,10.000040054321289,22.889482498168945,10.00004,22.889482
15.0,28.0,0.0,17.099998,22.591011,10.000038146972656,22.964717864990234,10.000038,22.964718
15.0,28.0,0.0,16.7,22.530811,10.000039100646973,22.995317459106445,10.000039,22.995317
15.0,28.0,0.0,16.5,22.4678,10.000038146972656,23.059505462646484,10.000038,23.059505
15.0,28.0,0.0,16.399998,22.415821,10.000039100646973,23.066694259643555,10.000039,23.066694
15.0,28.0,0.0,16.300003,22.359354,10.00003719329834,23.11965560913086,10.000037,23.119656
15.0,28.0,0.0,16.199997,22.315083,10.0000581741333,23.18712615966797,10.000058,23.187126
15.0,28.0,0.0,16.100002,22.278343,10.000057220458984,23.239028930664062,10.000057,23.239029
15.0,28.0,0.0,16.0,22.243252,10.000049591064453,23.226900100708008,10.00005,23.2269
15.0,28.0,0.0,15.799999,22.199518,10.000048637390137,23.277667999267578,10.000049,23.277668
15.0,28.0,0.0,15.599998,22.16834,10.000042915344238,23.27391815185547,10.000043,23.273918
15.0,28.0,0.0,15.400002,22.130108,10.000041961669922,23.319499969482422,10.000042,23.3195
