row_index,time_hour_start,time_hour_end,dt_seconds,T_env_start,T_zone_start,T_cor_state_start,T_out_state_start,Qsg_state_start,Qint_state_start,hour_sin_start,hour_cos_start,SAT_sp_requested,ZAT_sp_requested,SAT_sp,ZAT_sp,integral_error_start,prev_zat_sp_start,damper_signal_prev_start,m_fan_start,T_cor_used,T_out_used,Qsg_used,Qint_used,Hour_used,T_env_end,T_zone_end,integral_error_end,prev_zat_sp_end,damper_signal_end,m_fan_end,Mode,ReheatSignal_end,Q_reheat_end_W,reward,done,TotalEnergy_kWh,CoolingEnergy_kWh,HeatingEnergy_kWh,ReheatEnergy_kWh,FanEnergy_kWh,ComfortPeriod,ComfortLB,ComfortUB,TempExceed_degC,T_env_end_normalized,T_zone_end_normalized
22,17675,17675.5,1800,23.6844558716,23.4561958313,24,29.1999969482,632.819091797,180,0.258819103241,-0.965925812721,16,20,16,20,2630.92748156,20,100,0.317974642857,24,29.4,649.8086212,180,11,23.862308227,23.4830152328,2630.92748156,20,100,0.317974642857,cooling,0,0,-0.00171662000134,False,0.10299720008,0.0205681437164,0,0,0.0824290563639,day,22,24,0,0.396065950394,0.652539610863
23,17675.5,17676,1800,23.8623085022,23.4830150604,24,29.4000015259,649.808654785,180,0.258819103241,-0.965925812721,16,20,16,20,2630.92748156,20,100,0.317974642857,24,29.6,701.6350699,180,12,24.0402447487,23.6369899259,2630.92748156,20,100,0.317974642857,cooling,0,0,-0.00170889296476,False,0.102533577886,0.0201045215218,0,0,0.0824290563639,day,22,24,0,0.401149839163,0.66438382864
24,17676,17676.5,1800,24.0402450562,23.6369895935,24,29.5999984741,701.635070801,180,0,-1,16,20,16,20,2630.92748156,20,100,0.317974642857,24,29.7,703.0527701,180,12,24.2077901607,23.7319936086,2630.92748156,20,100,0.317974642857,cooling,0,0,-0.00170777608995,False,0.102466565397,0.020037509033,0,0,0.0824290563639,day,22,24,0,0.405936866999,0.671691834927
25,17676.5,17677,1800,24.2077903748,23.7319946289,24,29.6999969482,703.05279541,180,0,-1,16,20,16,20,2630.92748156,20,100,0.317974642857,24,29.8,493.4677368,180,13,24.3026762648,23.5301598497,2630.92748156,20,100,0.317974642857,cooling,0,0,-0.00169796729118,False,0.101878037471,0.0194489811067,0,0,0.0824290563639,day,22,24,0,0.408647894859,0.656166136265
26,17677,17677.5,1800,24.3026771545,23.5301589966,24,29.8000030518,493.46774292,180,-0.258819043636,-0.965925812721,16,20,16,20,2630.92748156,20,100,0.317974642857,24,29.7,89.94650763,180,13,24.2595746586,23.0071022486,3566.21652631,20,100,0.317974642857,cooling,0,0,-0.00168448447598,False,0.101069068559,0.018807745129,0,0,0.0822613234296,day,22,24,0,0.407416433096,0.615930914879
27,17677.5,17678,1800,24.2595748901,23.0071029663,24,29.6999969482,89.9465103149,180,-0.258819043636,-0.965925812721,17.7000007629,22,17.7000007629,22,3566.21652631,20,100,0.317974642857,24,29.6,180.2523886,180,14,24.3059832321,23.7742217128,2856.49170861,22,73.4770406769,0.255105775721,cooling,0,0,-0.000583947714045,False,0.0350368628427,0.00866322412895,0,0,0.0263736387138,day,22,24,0,0.408742368221,0.674940109253
28,17678,17678.5,1800,24.3059825897,23.7742214203,24,29.5999984741,180.252380371,180,-0.5,-0.866025388241,17.7000007629,22,17.7000007629,22,2856.49170861,22,73.4770406769,0.255105775721,24,29.4,474.8740792,180,14,24.4162148877,23.8967387721,3947.55641774,22,100,0.317974642857,cooling,0,0,-0.00156966525936,False,0.0941799155614,0.0168149308656,0,0,0.0773649846959,day,22,24,0,0.411891847849,0.684364497662
29,17678.5,17679,1800,24.4162139893,23.8967380524,24,29.4000015259,474.874084473,180,-0.5,-0.866025388241,17.7000007629,18,17.7000007629,18,3947.55641774,22,100,0.317974642857,24,29.1,426.4738543,180,15,24.4983275452,23.8836934369,1769.02141571,18,100,0.317974642857,cooling,0,0,-0.00162618745041,False,0.0975712470243,0.0180358900474,0,0,0.0795353569769,day,22,24,0,0.41423791647,0.683361053467
30,17679,17679.5,1800,24.4983272552,23.8836936951,24,29.0999984741,426.473846436,180,-0.707106769085,-0.707106769085,17.7000007629,18,17.7000007629,18,1769.02141571,18,100,0.317974642857,24,28.7,424.6044764,180,15,24.5599148003,23.9092809166,1769.02141571,18,100,0.317974642857,cooling,0,0,-0.00169995142756,False,0.101997085654,0.0195680292899,0,0,0.0824290563639,day,22,24,0,0.415997564793,0.685329318047
31,17679.5,17680,1800,24.5599136353,23.909280777,24,28.6999969482,424.60446167,180,-0.707106769085,-0.707106769085,16.6140785217,19.5571098328,16.6140785217,19.5571098328,1769.02141571,18,100,0.317974642857,24,28.3,269.3540575,180,16,24.5524149717,23.5330225032,2607.60750371,19.5571098328,100,0.317974642857,cooling,0,0,-0.00158620521839,False,0.0951723131032,0.0222650421237,0,0,0.0729072709795,day,22,24,0,0.415783286095,0.656386375427
